0.1 0.75 0.01956
0.11 0.75 0.02181
0.12 0.75 0.01964
0.13 0.75 0.01951
0.14 0.75 0.02082
0.15 0.75 0.01999
0.16 0.75 0.0196
0.17 0.75 0.02008
0.18 0.75 0.0223
0.19 0.75 0.02119
0.2 0.75 0.01983
0.21 0.75 0.01973
0.22 0.75 0.02174
0.23 0.75 0.02
0.24 0.75 0.0203
0.25 0.75 0.02043
0.1 0.76 0.01844
0.11 0.76 0.01882
0.12 0.76 0.01945
0.13 0.76 0.01972
0.14 0.76 0.01942
0.15 0.76 0.01896
0.16 0.76 0.01906
0.17 0.76 0.0207
0.18 0.76 0.02039
0.19 0.76 0.01989
0.2 0.76 0.0213
0.21 0.76 0.01998
0.22 0.76 0.01875
0.23 0.76 0.02136
0.24 0.76 0.02021
0.25 0.76 0.02147
0.1 0.77 0.01602
0.11 0.77 0.01671
0.12 0.77 0.01806
0.13 0.77 0.01891
0.14 0.77 0.02015
0.15 0.77 0.01951
0.16 0.77 0.02071
0.17 0.77 0.0201
0.18 0.77 0.01947
0.19 0.77 0.01934
0.2 0.77 0.02043
0.21 0.77 0.02032
0.22 0.77 0.01935
0.23 0.77 0.01975
0.24 0.77 0.01844
0.25 0.77 0.01942
0.1 0.78 0.0139
0.11 0.78 0.01333
0.12 0.78 0.01581
0.13 0.78 0.0165
0.14 0.78 0.0179
0.15 0.78 0.01758
0.16 0.78 0.01826
0.17 0.78 0.01863
0.18 0.78 0.01949
0.19 0.78 0.0192
0.2 0.78 0.02114
0.21 0.78 0.02014
0.22 0.78 0.01987
0.23 0.78 0.01948
0.24 0.78 0.01937
0.25 0.78 0.01879
0.1 0.79 0.01269
0.11 0.79 0.01375
0.12 0.79 0.01402
0.13 0.79 0.01275
0.14 0.79 0.0156
0.15 0.79 0.01534
0.16 0.79 0.01786
0.17 0.79 0.0178
0.18 0.79 0.0187
0.19 0.79 0.01843
0.2 0.79 0.01924
0.21 0.79 0.01753
0.22 0.79 0.01889
0.23 0.79 0.01898
0.24 0.79 0.02021
0.25 0.79 0.02065
0.1 0.8 0.01239
0.11 0.8 0.01287
0.12 0.8 0.01271
0.13 0.8 0.01138
0.14 0.8 0.01343
0.15 0.8 0.01542
0.16 0.8 0.01591
0.17 0.8 0.01548
0.18 0.8 0.01737
0.19 0.8 0.01774
0.2 0.8 0.01863
0.21 0.8 0.01916
0.22 0.8 0.01986
0.23 0.8 0.0196
0.24 0.8 0.01972
0.25 0.8 0.01872
0.1 0.81 0.01196
0.11 0.81 0.01304
0.12 0.81 0.01321
0.13 0.81 0.01226
0.14 0.81 0.01095
0.15 0.81 0.01273
0.16 0.81 0.01317
0.17 0.81 0.01252
0.18 0.81 0.01463
0.19 0.81 0.01754
0.2 0.81 0.01767
0.21 0.81 0.01708
0.22 0.81 0.01705
0.23 0.81 0.01806
0.24 0.81 0.019
0.25 0.81 0.01688
0.1 0.82 0.01186
0.11 0.82 0.01038
0.12 0.82 0.01162
0.13 0.82 0.0113
0.14 0.82 0.01299
0.15 0.82 0.01157
0.16 0.82 0.00973
0.17 0.82 0.01221
0.18 0.82 0.0125
0.19 0.82 0.01713
0.2 0.82 0.01701
0.21 0.82 0.01735
0.22 0.82 0.01664
0.23 0.82 0.01763
0.24 0.82 0.01909
0.25 0.82 0.01852
0.1 0.83 0.01354
0.11 0.83 0.01096
0.12 0.83 0.01182
0.13 0.83 0.0088
0.14 0.83 0.01172
0.15 0.83 0.01054
0.16 0.83 0.01195
0.17 0.83 0.0101
0.18 0.83 0.01024
0.19 0.83 0.01396
0.2 0.83 0.01641
0.21 0.83 0.0182
0.22 0.83 0.01683
0.23 0.83 0.01756
0.24 0.83 0.01692
0.25 0.83 0.01726
0.1 0.84 0.01144
0.11 0.84 0.01007
0.12 0.84 0.01079
0.13 0.84 0.01109
0.14 0.84 0.00812
0.15 0.84 0.0109
0.16 0.84 0.01159
0.17 0.84 0.01026
0.18 0.84 0.01106
0.19 0.84 0.01316
0.2 0.84 0.01115
0.21 0.84 0.01661
0.22 0.84 0.01507
0.23 0.84 0.01756
0.24 0.84 0.01755
0.25 0.84 0.01758
0.1 0.85 0.01228
0.11 0.85 0.01043
0.12 0.85 0.01107
0.13 0.85 0.01072
0.14 0.85 0.01034
0.15 0.85 0.01097
0.16 0.85 0.01025
0.17 0.85 0.0107
0.18 0.85 0.01194
0.19 0.85 0.01158
0.2 0.85 0.01256
